Average of open,Column Labels,,,,,,,,,,,,,,'13,1848.36
AMAT,15.58610619,20.88271786,19.59472222,24.69577381,44.49659363,54.47269231,25.83879658,0.8%,1.1%,1.0%,1.2%,1.7%,2.2%,,,
AMD,3.464977434,3.667999206,2.327678571,5.241507937,12.43650279,12.28519231,5.60431525,0.2%,0.2%,0.1%,0.3%,0.5%,0.5%,,,
AME,44.57185841,51.75944444,53.37892857,47.6702381,61.12555777,75.48538462,52.3321247,2.4%,2.8%,2.6%,2.3%,2.3%,3.0%,,,
AMG,173.8392699,198.345496,200.4261508,148.0205556,172.3483865,203.1492308,179.2062232,9.4%,10.7%,9.7%,7.2%,6.4%,8.1%,,,
AMGN,105.9408942,130.9683036,158.3171429,156.0635714,170.6262355,185.5078846,146.0055478,5.7%,7.1%,7.7%,7.6%,6.4%,7.4%,,,
AMP,86.71230088,117.7896627,122.2198016,97.1922619,137.6536578,173.3388462,114.0823615,4.7%,6.4%,5.9%,4.8%,5.1%,6.9%,,,
AMT,76.3959292,90.44417063,95.8559127,105.8235714,130.0333466,140.8115385,101.0167681,4.1%,4.9%,4.7%,5.2%,4.9%,5.6%,,,
AMZN,301.2748235,332.7984325,478.1262302,699.7565873,968.2538247,1325.553462,576.8672638,16.3%,18.0%,23.2%,34.2%,36.2%,52.9%,,,
ANDV,53.17517699,59.87039286,93.87664683,81.77595238,93.51056175,113.9138462,77.68252184,2.9%,3.2%,4.6%,4.0%,3.5%,4.5%,,,
ANSS,81.00451327,78.4068254,89.3527381,89.95293651,121.2300199,157.0323077,93.53625496,4.4%,4.2%,4.3%,4.4%,4.5%,6.3%,,,
ANTM,80.07867124,108.0783135,147.5598413,133.2733532,185.4044821,241.2784615,134.1646106,4.3%,5.8%,7.2%,6.5%,6.9%,9.6%,,,
AON,68.64513274,86.68269841,96.6568254,105.3339286,130.9561155,137.7403846,99.05539714,3.7%,4.7%,4.7%,5.2%,4.9%,5.5%,,,
AOS,21.17224558,24.69619048,34.2177381,42.61147817,55.08039841,64.73038462,36.43963463,1.1%,1.3%,1.7%,2.1%,2.1%,2.6%,,,
APA,82.71568584,85.77563492,54.38440476,53.47361111,47.94525498,45.46,64.10297379,4.5%,4.6%,2.6%,2.6%,1.8%,1.8%,,,
APC,88.11053142,94.79795595,75.11454365,53.07440476,53.23318725,58.28230769,72.26572677,4.8%,5.1%,3.6%,2.6%,2.0%,2.3%,,,
APD,98.78654867,126.1430952,142.6094048,141.2370238,147.2137052,166.905,132.5919698,5.3%,6.8%,6.9%,6.9%,5.5%,6.7%,,,
APH,38.9624115,48.40272817,55.1109127,59.20666667,77.20804781,90.88346154,56.83336974,2.1%,2.6%,2.7%,2.9%,2.9%,3.6%,,,
APTV,,,,,85.6575,92.24115385,89.54784091,0.0%,0.0%,0.0%,0.0%,3.2%,3.7%,,,
ARE,67.70216814,76.66738095,92.31928571,98.3247619,118.8190239,125.9465385,91.94706513,3.7%,4.1%,4.5%,4.8%,4.4%,5.0%,,,
ARNC,25.63911504,43.33613095,35.095,26.93210317,25.58219124,29.42076923,31.39955917,1.4%,2.3%,1.7%,1.3%,1.0%,1.2%,,,
ATVI,15.84641593,20.67095238,27.57261905,37.92,56.21344622,69.29480769,32.72895155,0.9%,1.1%,1.3%,1.9%,2.1%,2.8%,,,
AVB,129.2449115,142.4499008,171.9348302,176.326746,184.9066135,169.78,161.7906928,7.0%,7.7%,8.4%,8.6%,6.9%,6.8%,,,
AVGO,39.05117257,73.45137897,125.4956746,157.2380952,236.4235757,257.1309615,130.7481692,2.1%,4.0%,6.1%,7.7%,8.8%,10.3%,,,
AVY,44.15938053,48.90535675,58.6627381,72.05698413,90.87559761,118.6207692,64.44754162,2.4%,2.6%,2.8%,3.5%,3.4%,4.7%,,,
AWK,41.27997788,47.75480159,54.20819444,72.56202381,80.48203187,84.13384615,60.12553614,2.2%,2.6%,2.6%,3.6%,3.0%,3.4%,,,
AXP,74.25907124,89.87011944,77.98027778,63.77037698,84.62216733,98.97038462,78.60554345,4.0%,4.9%,3.8%,3.1%,3.2%,3.9%,,,
AYI,85.12630531,128.1736905,186.107619,241.5979365,185.0731275,163.4923077,166.8183241,4.6%,6.9%,9.0%,11.8%,6.9%,6.5%,,,
AZO,421.3161062,534.6986905,697.1455556,768.682619,640.604004,770.1342308,619.6706156,22.8%,28.9%,33.9%,37.6%,24.0%,30.7%,,,
BA,106.122146,128.4822619,143.4285119,132.9872036,214.9970231,330.2715385,149.7769723,5.7%,7.0%,7.0%,6.5%,8.0%,13.2%,,,
BAC,13.65575177,16.34825357,16.59240079,15.42646825,24.73193227,31.16192308,17.70662415,0.7%,0.9%,0.8%,0.8%,0.9%,1.2%,,,
BAX,69.54185841,72.30001984,53.01071429,43.88337302,57.9549004,69.06461538,59.3294162,3.8%,3.9%,2.6%,2.1%,2.2%,2.8%,,,
BBT,33.31347345,37.98117063,38.37424603,36.96724206,46.11077689,53.42923077,38.95879269,1.8%,2.1%,1.9%,1.8%,1.7%,2.1%,,,
BBY,31.1304646,30.28164683,35.25400794,34.78488095,53.61035857,72.53653846,37.85417792,1.7%,1.6%,1.7%,1.7%,2.0%,2.9%,,,
BDX,99.64419248,119.3061905,143.9692857,163.805,194.6745618,231.1334615,146.9552442,5.4%,6.5%,7.0%,8.0%,7.3%,9.2%,,,
BEN,50.63006593,54.98436508,46.64353175,36.09724206,42.85278884,43.59923077,46.09909444,2.7%,3.0%,2.3%,1.8%,1.6%,1.7%,,,
BF.B,35.36590708,44.47921627,48.89230159,47.69531746,51.40972112,67.76807692,46.2330004,1.9%,2.4%,2.4%,2.3%,1.9%,2.7%,,,
